Issuer Name,Industry,Debt to Equity,EBITDA Margin,Interest Coverage,Issue Size (₹Cr),DefaultFlag,Final Rating
RFB Latex Ltd.,Medical Equipment & Supplies,2.41,0.00,4.23,25.98,No,BB-
IUA Trust,Hotels & Resorts,1.07,0.00,0.41,9,No,B-
Supple Tek Industries Pvt. Ltd,Other Agricultural Products,2.66,0.00,6.61,530,No,A-
Reliance Broadcast Network Ltd,Electronic Media,-1.16,0.00,0.32,250,No,A+
Chemplast Sanmar Ltd,Specialty Chemicals,0.96,0.00,7.66,1672.5,No,AA-
Rahul Ferromet & Engineering Pvt Ltd,Industrial Products,1.89,0.00,3.01,19.63,No,B-
ABans Finance Private Limited,Non Banking Financial Company (NBFC),1.55,0.00,-14.66,5,No,B+
Sudarshan Seeds Pvt Ltd,Other Agricultural Products,3.26,0.00,2.52,6,No,B+
Kisan Rice Mill,Other Agricultural Products,3.19,0.00,1.31,6.2,No,B+
Santpuria Alloys Pvt. Ltd.,Sponge Iron,0.84,0.00,1.82,25.5,No,B+
MMS Steel & Power Pvt Ltd,Power Generation,2.10,0.00,2.28,22,No,BB-
Suryasri Rice Mill,Other Agricultural Products,1.91,0.00,1.47,28.14,No,BB-
Katyayini Paper Mills Pvt Ltd,Paper & Paper Products,1.49,0.00,3.08,79.8,No,BBB
Dehradun Premier Motors Pvt. Ltd,Auto Dealer,9.25,0.00,1.20,15,No,BBB-
Miku Polymers & Plastics Limited (Formerly known as Miku Traders),Other Industrial Products,1.89,0.00,-13.52,97.75,No,BBB-
Pancharatna Buildcon Pvt Ltd,"Residential, Commercial Projects",13.87,0.00,2.98,30,No,D
Rasiklal Sankalchand Jewellers Pvt Ltd,"Gems, Jewellery And Watches",3.15,0.00,1.90,105,No,D
Asian Colour Coated Ispat Ltd.,Iron & Steel,2.42,0.00,3.57,339,No,A
Arise India Ltd.,Other Electrical Equipment,1.30,0.00,3.75,325,No,A
OPG Power Generation Pvt. Ltd.,Power Generation,0.81,0.00,3.81,1483,No,A
Nectar Lifesciences Limited,Pharmaceuticals,2120.01,0.00,1.61,1503.26,No,A
Videocon D2H Ltd.,TV Broadcasting & Software Production,-25.90,0.00,1.29,3577.08,No,A
Arise India Ltd.,Other Electrical Equipment,545.79,0.00,1.97,425,No,A
PVP Capital Limited,Non Banking Financial Company (NBFC),2.61,0.00,3.09,100,No,A
Pridhvi Asset Reconstruction and Securitisation Company Ltd.,Other Financial Services,0.11,0.00,12.33,40,No,A
Arise India Ltd.,Other Electrical Equipment,1.30,0.00,3.75,510,No,A
Trimax IT Infrastructure & Services Ltd,IT Enabled Services,0.86,0.00,3.02,1427.96,No,A
Bhubaneshwar Power Private Limited,Power Generation,3.10,0.00,-0.20,782.75,No,A
Megha Engineering & Infrastructures Ltd.,Civil Construction,0.58,0.00,7.33,5210,No,A
Bellissimo Crown Buildmart Pvt Ltd,"Residential, Commercial Projects",15.38,0.00,-2.11,600,No,A
IIT Madras Research Park,"Residential, Commercial Projects",2.37,0.00,5.44,100,No,A
John Distilleries Pvt. Ltd.,Breweries & Distilleries,1.51,0.00,1.69,244.03,No,A
Pridhvi Asset Reconstruction and Securitisation Company Ltd.,Other Financial Services,0.22,0.00,7.44,100,No,A
Haryana Power Generation Corporation Ltd,Power Generation,1.04,0.00,1.64,4000,No,A
